k_hMpc,T_stage3_dictionary,T_v183_clipped,P_suppression_stage3,P_suppression_v183
0.001,0.9999999389224881,1.0,0.9999998778449799,1.0
0.001020874102725307,0.9999999363459987,1.0,0.9999998726920014,1.0
0.0010421839336152005,0.9999999336608227,1.0,0.9999998673216499,1.0
0.0010639385881041484,0.9999999308623758,1.0,0.9999998617247564,1.0
0.0010861473514856524,0.9999999279458794,1.0,0.9999998558917641,1.0
0.001108819702875384,0.9999999249063536,1.0,0.9999998498127128,1.0
0.0011319653192570478,0.9999999217386086,1.0,0.9999998434772234,1.0
0.0011555940796127043,0.9999999184372359,1.0,0.9999998368744785,1.0
0.0011797160691392964,0.9999999149965983,1.0,0.9999998299932039,1.0
0.0012043415835532052,0.9999999114108209,1.0,0.9999998228216497,1.0
0.0012294811334846536,0.9999999076737816,1.0,0.9999998153475717,1.0
0.001255145448963839,0.9999999037790993,1.0,0.9999998075582078,1.0
0.0012813454840007116,0.9999998997201243,1.0,0.9999997994402586,1.0
0.0013080924212603505,0.9999998954899254,1.0,0.9999997909798617,1.0
0.0013353976768359346,0.9999998910812804,1.0,0.9999997821625727,1.0
0.001363272905121344,0.9999998864866615,1.0,0.9999997729733359,1.0
0.0013917300037854731,0.9999998816982234,1.0,0.9999997633964608,1.0
0.0014207811188503827,0.9999998767077903,1.0,0.9999997534155959,1.0
0.0014504386498754422,0.9999998715068413,1.0,0.9999997430136992,1.0
0.0014807152552496975,0.9999998660864959,1.0,0.9999997321730099,1.0
0.0015116238575947087,0.999999860437499,1.0,0.9999997208750174,1.0
0.0015431776492801652,0.9999998545502056,1.0,0.9999997091004323,1.0
0.001575390098054637,0.9999998484145628,1.0,0.9999996968291486,1.0
0.0016082749527938608,0.9999998420200952,1.0,0.9999996840402153,1.0
0.001641846249369018,0.9999998353558835,1.0,0.9999996707117942,1.0
0.0016761183166375067,0.9999998284105495,1.0,0.9999996568211283,1.0
0.0017111057825587646,0.9999998211722341,1.0,0.9999996423445001,1.0
0.001746823580437763,0.9999998136285784,1.0,0.9999996272571915,1.0
0.0017832869552988093,0.9999998057667018,1.0,0.9999996115334413,1.0
0.0018205114703924163,0.9999997975731806,1.0,0.9999995951464021,1.0
0.001858513013837987,0.9999997890340249,1.0,0.9999995780680943,1.0
0.001897307805405161,0.9999997801346542,1.0,0.9999995602693567,1.0
0.0019369124034367149,0.9999997708598732,1.0,0.999999541719799,1.0
0.001977343711915974,0.9999997611938461,1.0,0.9999995223877494,1.0
0.0020186189876817474,0.9999997511200686,1.0,0.9999995022401991,1.0
0.002060755847793871,0.9999997406213393,1.0,0.999999481242746,1.0
0.0021037722770524954,0.9999997296797334,1.0,0.9999994593595398,1.0
0.002147686635674342,0.9999997182765675,1.0,0.9999994365532144,1.0
0.0021925176671291767,0.9999997063923721,1.0,0.9999994127848304,1.0
0.0022382845061398814,0.9999996940068552,1.0,0.999999388013804,1.0
0.0022850066868495083,0.9999996810988693,1.0,0.9999993621978402,1.0
0.0023327041511588178,0.999999667646374,1.0,0.9999993352928586,1.0
0.002381397257237857,0.9999996536264009,1.0,0.9999993072529217,1.0
0.0024311067882152038,0.9999996390150109,1.0,0.9999992780301521,1.0
0.002481853961048599,0.9999996237872558,1.0,0.9999992475746532,1.0
0.0025336604355807374,0.999999607917135,1.0,0.9999992158344239,1.0
0.002586548323784095,0.9999995913775513,1.0,0.9999991827552697,1.0
0.002640540199198732,0.9999995741402637,1.0,0.9999991482807089,1.0
0.002695659106567109,0.9999995561758416,1.0,0.9999991123518801,1.0
0.0027519285716699994,0.9999995374536105,1.0,0.9999990749074349,1.0
0.002809372611367746,0.9999995179416035,1.0,0.9999990358834393,1.0
0.0028680157438511003,0.999999497606505,1.0,0.9999989952132623,1.0
0.0029278829991060454,0.9999994764135938,1.0,0.9999989528274617,1.0
0.0029889999295970647,0.9999994543266841,1.0,0.999998908653666,1.0
0.0030513926211734087,0.9999994313080642,1.0,0.9999988626164519,1.0
0.003115087704203026,0.9999994073184302,1.0,0.9999988146372116,1.0
0.003180112364938897,0.999999382316822,1.0,0.9999987646340255,1.0
0.0032464943571226504,0.99999935626055,1.0,0.9999987125215145,1.0
0.0033142620138303575,0.9999993291051251,1.0,0.9999986582107003,1.0
0.003383444259565635,0.9999993008041805,1.0,0.9999986016088499,1.0
0.003454070622605158,0.9999992713093947,1.0,0.9999985426193204,1.0
0.003526171247601883,0.9999992405704065,1.0,0.9999984811413897,1.0
0.003599776908451348,0.9999992085347306,1.0,0.9999984170700875,1.0
0.003674919021426549,0.9999991751476688,1.0,0.9999983502960179,1.0
0.0037516296585869907,0.9999991403522137,1.0,0.9999982807051664,1.0
0.003829941561467644,0.9999991040889552,1.0,0.9999982081787131,1.0
0.003909888155053642,0.9999990662959755,1.0,0.9999981325928228,1.0
0.003991503562046692,0.9999990269087452,1.0,0.9999980538184373,1.0
0.004074822617429279,0.9999989858600137,1.0,0.9999979717210559,1.0
0.004159880883332901,0.9999989430796922,1.0,0.9999978861605014,1.0
0.004246714664216633,0.9999988984947364,1.0,0.9999977969906862,1.0
0.004335361022362558,0.9999988520290208,1.0,0.9999977040593595,1.0
0.004425857793694646,0.999998803603208,1.0,0.9999976072078475,1.0
0.004518243603927828,0.999998753134614,1.0,0.9999975062707825,1.0
0.004612557885054178,0.9999987005370671,1.0,0.9999974010758228,1.0
0.004708840892173223,0.9999986457207609,1.0,0.9999972914433559,1.0
0.004807133720673568,0.9999985885921006,1.0,0.9999971771861932,1.0
0.004907478323773195,0.9999985290535425,1.0,0.9999970581092487,1.0
0.0050099175304258526,0.9999984670034294,1.0,0.999996934009209,1.0
0.005114495063601278,0.9999984023358153,1.0,0.9999968046741831,1.0
0.005221255558946966,0.9999983349402849,1.0,0.9999966698833422,1.0
0.005330244583839504,0.9999982647017661,1.0,0.9999965294065435,1.0
0.005441508656833581,0.9999981915003313,1.0,0.9999963830039333,1.0
0.005555095267516972,0.9999981152109957,1.0,0.9999962304255438,1.0
0.005671052896779987,0.9999980357035011,1.0,0.9999960714108607,1.0
0.005789431037508022,0.999997952842095,1.0,0.9999959056883809,1.0
0.005910280215706045,0.9999978664852988,1.0,0.9999957329751494,1.0
0.006033652012064041,0.9999977764856659,1.0,0.9999955529762758,1.0
0.0061595990839726205,0.9999976826895298,1.0,0.9999953653844296,1.0
0.006288175187998165,0.9999975849367417,1.0,0.999995169879316,1.0
0.006419435202827164,0.9999974830603984,1.0,0.9999949661271317,1.0
0.0065534351526894295,0.9999973768865554,1.0,0.9999947537799916,1.0
0.006690232231270306,0.9999972662339311,1.0,0.9999945324753358,1.0
0.006829884826122002,0.999997150913597,1.0,0.9999943018353112,1.0
0.006972452543584487,0.9999970307286556,1.0,0.9999940614661279,1.0
0.007117996234226597,0.9999969054739036,1.0,0.9999938109573834,1.0
0.007266578018818183,0.9999967749354819,1.0,0.9999935498813648,1.0
0.007418261314844451,0.9999966388905102,1.0,0.9999932777923174,1.0
0.007573110863573684,0.9999964971067069,1.0,0.9999929942256841,1.0
0.007731192757690059,0.9999963493419929,1.0,0.9999926986973131,1.0
0.007892574469503229,0.9999961953440766,1.0,0.9999923907026286,1.0
0.008057324879746775,0.9999960348500263,1.0,0.999992069715775,1.0
0.00822551430697778,0.9999958675858177,1.0,0.9999917351887123,1.0
0.008397214537590115,0.9999956932658683,1.0,0.9999913865502846,1.0
0.008572498856454211,0.9999955115925506,1.0,0.999991023205247,1.0
0.008751442078196413,0.9999953222556812,1.0,0.9999906445332437,1.0
0.008934120579131257,0.999995124931994,1.0,0.9999902498877544,1.0
0.009120612329860322,0.9999949192845873,1.0,0.9999898385949882,1.0
0.009310996928551526,0.9999947049623481,1.0,0.9999894099527337,1.0
0.009505355634913119,0.9999944815993538,1.0,0.9999889632291603,1.0
0.00970377140487687,0.9999942488142473,1.0,0.9999884976615706,1.0
0.009906328926005164,0.999994006209585,1.0,0.9999880124550955,1.0
0.010113114653637276,0.9999937533711604,1.0,0.9999875067813411,1.0
0.010324216847790106,0.9999934898672945,1.0,0.9999869797769709,1.0
