y_keff_inv,y_Mpc_over_h,A_y,dA_dy
0.0,0.0,-2.201332879305304e-32,1.0274862967460157
0.01001001001001001,0.00667334000667334,0.010285146172648406,1.0274859092005835
0.02002002002002002,0.01334668001334668,0.020570288485722666,1.0274855256128683
0.03003003003003003,0.02002002002002002,0.03085542697860257,1.0274851459051983
0.04004004004004004,0.02669336002669336,0.04114056168974804,1.0274847700015173
0.050050050050050046,0.0333667000333667,0.051425692656712034,1.027484397827365
0.06006006006006006,0.04004004004004004,0.06171081991670371,1.027484029308878
0.07007007007007007,0.04671338004671338,0.07199594350571581,1.0274836643743186
0.08008008008008008,0.05338672005338672,0.0822810634594027,1.0274833029525372
0.09009009009009009,0.06006006006006006,0.09256617981258426,1.0274829449738268
0.10010010010010009,0.0667334000667334,0.10285129259924095,1.0274825903699334
0.11011011011011011,0.07340674007340674,0.11313640185304272,1.0274822390731368
0.12012012012012012,0.08008008008008008,0.12342150760654409,1.0274818910176273
0.13013013013013014,0.08675342008675342,0.13370660989198457,1.0274815461381375
0.14014014014014015,0.09342676009342676,0.1439917087408455,1.0274812043706865
0.15015015015015015,0.1001001001001001,0.15427680418383016,1.027480865652615
0.16016016016016016,0.10677344010677343,0.1645618962513611,1.027480529921737
0.17017017017017017,0.11344678011344678,0.17484698497283663,1.0274801971175889
0.18018018018018017,0.12012012012012012,0.1851320703773611,1.0274798671802015
0.19019019019019018,0.12679346012679346,0.19541715249334898,1.0274795400507535
0.20020020020020018,0.1334668001334668,0.20570223134849303,1.0274792156716246
0.21021021021021022,0.14014014014014015,0.21598730697023077,1.0274788939856145
0.22022022022022023,0.14681348014681347,0.22627237938505876,1.027478574937074
0.23023023023023023,0.15348682015348683,0.23655744861919772,1.0274782584708029
0.24024024024024024,0.16016016016016016,0.24684251469824053,1.0274779445326263
0.2502502502502503,0.16683350016683351,0.25712757764710853,1.027477633069458
0.2602602602602603,0.17350684017350684,0.26741263749049154,1.0274773240285855
0.2702702702702703,0.1801801801801802,0.27769769425221225,1.0274770173586885
0.2802802802802803,0.18685352018685353,0.28798274795583545,1.02747671300886
0.2902902902902903,0.19352686019352686,0.2982677986243519,1.0274764109291006
0.3003003003003003,0.2002002002002002,0.3085528462801277,1.0274761110704036
0.3103103103103103,0.20687354020687354,0.3188378909453174,1.0274758133840887
0.3203203203203203,0.21354688021354687,0.32912293264127596,1.0274755178227282
0.3303303303303303,0.22022022022022023,0.3394079713891154,1.02747522433927
0.34034034034034033,0.22689356022689355,0.34969300720942303,1.0274749328874693
0.35035035035035034,0.23356690023356688,0.359978040122203,1.0274746434219786
0.36036036036036034,0.24024024024024024,0.37026307014726667,1.0274743558977422
0.37037037037037035,0.24691358024691357,0.3805480973036847,1.027474070270823
0.38038038038038036,0.2535869202535869,0.3908331216103001,1.027473786497629
0.39039039039039036,0.2602602602602602,0.4011181430854747,1.0274735045352845
