k_hMpc,P_LCDM,P_convA,P_convB,T_k,dsigma2_dlnk
1.160155301739971721e-04,4.865753803074321695e+02,4.865753803074321695e+02,4.865753803074321695e+02,1.000000000000000000e+00,3.849184270393838303e-11
1.164170269548408458e-04,4.881990140229087274e+02,4.881990140229087274e+02,4.881990140229087274e+02,1.000000000000000000e+00,3.902263519879713143e-11
1.168199132019463884e-04,4.898280576754556250e+02,4.898280576754556250e+02,4.898280576754556250e+02,1.000000000000000000e+00,3.956074659695959576e-11
1.172241937238616469e-04,4.914625293475333478e+02,4.914625293475333478e+02,4.914625293475333478e+02,1.000000000000000000e+00,4.010627770491871088e-11
1.176298733457755352e-04,4.931024471825282944e+02,4.931024471825282944e+02,4.931024471825282944e+02,1.000000000000000000e+00,4.065933094278621112e-11
1.180369569095755236e-04,4.947478293849262627e+02,4.947478293849262627e+02,4.947478293849262627e+02,1.000000000000000000e+00,4.122000994360118457e-11
1.184454492739055761e-04,4.963986942205377204e+02,4.963986942205377204e+02,4.963986942205377204e+02,1.000000000000000000e+00,4.178841994315305059e-11
1.188553553142239114e-04,4.980550600167085804e+02,4.980550600167085804e+02,4.980550600167085804e+02,1.000000000000000000e+00,4.236466737596323886e-11
1.192666799228614275e-04,4.997169451625160264e+02,4.997169451625160264e+02,4.997169451625160264e+02,1.000000000000000000e+00,4.294886049220703684e-11
1.196794280090799235e-04,5.013843681090041855e+02,5.013843681090041855e+02,5.013843681090041855e+02,1.000000000000000000e+00,4.354110869590318375e-11
1.200936044991308092e-04,5.030573473693606843e+02,5.030573473693606843e+02,5.030573473693606843e+02,1.000000000000000000e+00,4.414152316476533318e-11
1.205092143363138148e-04,5.047359015191648837e+02,5.047359015191648837e+02,5.047359015191648837e+02,1.000000000000000000e+00,4.475021644266723885e-11
1.209262624810360253e-04,5.064200491604520380e+02,5.064200491604520380e+02,5.064200491604520380e+02,1.000000000000000000e+00,4.536730270495377578e-11
1.213447539108711190e-04,5.081098087862478678e+02,5.081098087862478678e+02,5.081098087862478678e+02,1.000000000000000000e+00,4.599289762723751940e-11
1.217646936206187271e-04,5.098051988990536643e+02,5.098051988990536643e+02,5.098051988990536643e+02,1.000000000000000000e+00,4.662711850371413030e-11
1.221860866223640520e-04,5.115062380611121284e+02,5.115062380611121284e+02,5.115062380611121284e+02,1.000000000000000000e+00,4.727008426298122050e-11
1.226089379455376873e-04,5.132129448946177490e+02,5.132129448946177490e+02,5.132129448946177490e+02,1.000000000000000000e+00,4.792191547943650814e-11
1.230332526369756969e-04,5.149253380818971664e+02,5.149253380818971664e+02,5.149253380818971664e+02,1.000000000000000000e+00,4.858273438464243251e-11
1.234590357609797605e-04,5.166434363655811239e+02,5.166434363655811239e+02,5.166434363655811239e+02,1.000000000000000000e+00,4.925266477889273358e-11
1.238862923993777133e-04,5.183672585488187678e+02,5.183672585488187678e+02,5.183672585488187678e+02,1.000000000000000000e+00,4.993183230777190814e-11
1.243150276515841252e-04,5.200968234954447098e+02,5.200968234954447098e+02,5.200968234954447098e+02,1.000000000000000000e+00,5.062036440923003581e-11
1.247452466346611795e-04,5.218321501301951457e+02,5.218321501301951457e+02,5.218321501301951457e+02,1.000000000000000000e+00,5.131838999059969152e-11
1.251769544833797939e-04,5.235732574388642888e+02,5.235732574388642888e+02,5.235732574388642888e+02,1.000000000000000000e+00,5.202604010987860323e-11
1.256101563502808787e-04,5.253201644685158271e+02,5.253201644685158271e+02,5.253201644685158271e+02,1.000000000000000000e+00,5.274344725027307443e-11
1.260448574057367564e-04,5.270728903276793744e+02,5.270728903276793744e+02,5.270728903276793744e+02,1.000000000000000000e+00,5.347074600476455533e-11
1.264810628380129886e-04,5.288314541865204319e+02,5.288314541865204319e+02,5.288314541865204319e+02,1.000000000000000000e+00,5.420807282105811692e-11
1.269187778533302296e-04,5.305958752811491195e+02,5.305958752811491195e+02,5.305958752811491195e+02,1.000000000000000000e+00,5.495556580982269491e-11
1.273580076759263781e-04,5.323661729954964130e+02,5.323661729954964130e+02,5.323661729954964130e+02,1.000000000000000000e+00,5.571336503666806803e-11
1.277987575481190005e-04,5.341423668583094013e+02,5.341423668583094013e+02,5.341423668583094013e+02,1.000000000000000000e+00,5.648161287985546915e-11
1.282410327303677808e-04,5.359244764662555554e+02,5.359244764662555554e+02,5.359244764662555554e+02,1.000000000000000000e+00,5.726045307611850509e-11
1.286848385013373230e-04,5.377125214809791487e+02,5.377125214809791487e+02,5.377125214809791487e+02,1.000000000000000000e+00,5.805003190052467633e-11
1.291301801579602514e-04,5.395065216293135109e+02,5.395065216293135109e+02,5.395065216293135109e+02,1.000000000000000000e+00,5.885049714759315653e-11
1.295770630155003390e-04,5.413064967034925985e+02,5.413064967034925985e+02,5.413064967034925985e+02,1.000000000000000000e+00,5.966199911245471421e-11
1.300254924076160138e-04,5.431124665613683646e+02,5.431124665613683646e+02,5.431124665613683646e+02,1.000000000000000000e+00,6.048468984349746732e-11
1.304754736864239205e-04,5.449244511266379050e+02,5.449244511266379050e+02,5.449244511266379050e+02,1.000000000000000000e+00,6.131872364235437561e-11
1.309270122225628889e-04,5.467424703890505953e+02,5.467424703890505953e+02,5.467424703890505953e+02,1.000000000000000000e+00,6.216425686978178051e-11
1.313801134052580092e-04,5.485665444046163657e+02,5.485665444046163657e+02,5.485665444046163657e+02,1.000000000000000000e+00,6.302144810038886368e-11
1.318347826423849263e-04,5.503966932958614962e+02,5.503966932958614962e+02,5.503966932958614962e+02,1.000000000000000000e+00,6.389045792587204585e-11
1.322910253605344845e-04,5.522329372519993740e+02,5.522329372519993740e+02,5.522329372519993740e+02,1.000000000000000000e+00,6.477144939376833418e-11
1.327488470050772922e-04,5.540752965291960663e+02,5.540752965291960663e+02,5.540752965291960663e+02,1.000000000000000000e+00,6.566458767007617719e-11
1.332082530402288825e-04,5.559237914507651794e+02,5.559237914507651794e+02,5.559237914507651794e+02,1.000000000000000000e+00,6.657004026725161897e-11
1.336692489491149547e-04,5.577784424143579827e+02,5.577784424143579827e+02,5.577784424143579827e+02,1.000000000000000000e+00,6.748797677464746953e-11
1.341318402338366976e-04,5.596392699061896110e+02,5.596392699061896110e+02,5.596392699061896110e+02,1.000000000000000000e+00,6.841856944861326506e-11
1.345960324155364655e-04,5.615062944845635684e+02,5.615062944845635684e+02,5.615062944845635684e+02,1.000000000000000000e+00,6.936199265380592757e-11
1.350618310344638053e-04,5.633795367762535307e+02,5.633795367762535307e+02,5.633795367762535307e+02,1.000000000000000000e+00,7.031842345482521790e-11
1.355292416500414039e-04,5.652590174767361759e+02,5.652590174767361759e+02,5.652590174767361759e+02,1.000000000000000000e+00,7.128804105554170806e-11
1.359982698409315763e-04,5.671447573504209458e+02,5.671447573504209458e+02,5.671447573504209458e+02,1.000000000000000000e+00,7.227102732193001341e-11
1.364689212051028631e-04,5.690367772308769645e+02,5.690367772308769645e+02,5.690367772308769645e+02,1.000000000000000000e+00,7.326756636272799136e-11
1.369412013598966273e-04,5.709350980210689386e+02,5.709350980210689386e+02,5.709350980210689386e+02,1.000000000000000000e+00,7.427784535075542223e-11
1.374151159420944107e-04,5.728397406935770277e+02,5.728397406935770277e+02,5.728397406935770277e+02,1.000000000000000000e+00,7.530205344298112268e-11
1.378906706079849646e-04,5.747507262908446819e+02,5.747507262908446819e+02,5.747507262908446819e+02,1.000000000000000000e+00,7.634038275020098012e-11
1.383678710334319308e-04,5.766680759254078339e+02,5.766680759254078339e+02,5.766680759254078339e+02,1.000000000000000000e+00,7.739302798955602437e-11
1.388467229139413064e-04,5.785918107801165888e+02,5.785918107801165888e+02,5.785918107801165888e+02,1.000000000000000000e+00,7.846018650204549560e-11
1.393272319647299114e-04,5.805219521083876089e+02,5.805219521083876089e+02,5.805219521083876089e+02,1.000000000000000000e+00,7.954205834471436587e-11
1.398094039207930421e-04,5.824585212344156844e+02,5.824585212344156844e+02,5.824585212344156844e+02,1.000000000000000000e+00,8.063884630928585377e-11
1.402932445369733732e-04,5.844015395368203372e+02,5.844015395368203372e+02,5.844015395368203372e+02,1.000000000000000000e+00,8.175075616411453248e-11
1.407787595880293158e-04,5.863510282771102311e+02,5.863510282771102311e+02,5.863510282771102311e+02,1.000000000000000000e+00,8.287799627465395732e-11
1.412659548687041360e-04,5.883070086664798737e+02,5.883070086664798737e+02,5.883070086664798737e+02,1.000000000000000000e+00,8.402077800620779120e-11
1.417548361937950722e-04,5.902695019816416107e+02,5.902695019816416107e+02,5.902695019816416107e+02,1.000000000000000000e+00,8.517931545790658084e-11
1.422454093982227516e-04,5.922385295669004108e+02,5.922385295669004108e+02,5.922385295669004108e+02,1.000000000000000000e+00,8.635382586116171773e-11
1.427376803371006875e-04,5.942141128343214405e+02,5.942141128343214405e+02,5.942141128343214405e+02,1.000000000000000000e+00,8.754452929693569929e-11
1.432316548858054268e-04,5.961962732639634623e+02,5.961962732639634623e+02,5.961962732639634623e+02,1.000000000000000000e+00,8.875164902086829910e-11
1.437273389400464002e-04,5.981850324040694886e+02,5.981850324040694886e+02,5.981850324040694886e+02,1.000000000000000000e+00,8.997541133241510769e-11
1.442247384159364763e-04,6.001804118712735772e+02,6.001804118712735772e+02,6.001804118712735772e+02,1.000000000000000000e+00,9.121604551812769330e-11
1.447238592500625436e-04,6.021824333508247946e+02,6.021824333508247946e+02,6.021824333508247946e+02,1.000000000000000000e+00,9.247378418092476129e-11
1.452247073995561999e-04,6.041911185967559277e+02,6.041911185967559277e+02,6.041911185967559277e+02,1.000000000000000000e+00,9.374886303101511987e-11
1.457272888421651204e-04,6.062064894321238171e+02,6.062064894321238171e+02,6.062064894321238171e+02,1.000000000000000000e+00,9.504152090623675888e-11
1.462316095763242351e-04,6.082285677492104696e+02,6.082285677492104696e+02,6.082285677492104696e+02,1.000000000000000000e+00,9.635200041870163603e-11
1.467376756212272326e-04,6.102573755097156436e+02,6.102573755097156436e+02,6.102573755097156436e+02,1.000000000000000000e+00,9.768054688555234191e-11
1.472454930168987401e-04,6.122929347460013787e+02,6.122929347460013787e+02,6.122929347460013787e+02,1.000000000000000000e+00,9.902740936609804467e-11
1.477550678242659898e-04,6.143352676810789035e+02,6.143352676810789035e+02,6.143352676810789035e+02,1.000000000000000000e+00,1.003928405524131848e-10
1.482664061252314872e-04,6.163843968437582816e+02,6.163843968437582816e+02,6.163843968437582816e+02,1.000000000000000000e+00,1.017770961017368050e-10
1.487795140227454087e-04,6.184403448646917241e+02,6.184403448646917241e+02,6.184403448646917241e+02,1.000000000000000000e+00,1.031804355744106948e-10
1.492943976408785144e-04,6.205031344501734338e+02,6.205031344501734338e+02,6.205031344501734338e+02,1.000000000000000000e+00,1.046031221405970118e-10
1.498110631248952775e-04,6.225727883823801676e+02,6.225727883823801676e+02,6.225727883823801676e+02,1.000000000000000000e+00,1.060454224451154311e-10
1.503295166413271217e-04,6.246493295196506779e+02,6.246493295196506779e+02,6.246493295196506779e+02,1.000000000000000000e+00,1.075076069514913311e-10
1.508497643780461477e-04,6.267327807967120634e+02,6.267327807967120634e+02,6.267327807967120634e+02,1.000000000000000000e+00,1.089899495661977294e-10
1.513718125443388584e-04,6.288231652249644412e+02,6.288231652249644412e+02,6.288231652249644412e+02,1.000000000000000000e+00,1.104927283880916843e-10
1.518956673709803999e-04,6.309205058927242362e+02,6.309205058927242362e+02,6.309205058927242362e+02,1.000000000000000000e+00,1.120162250103282449e-10
1.524213351103088020e-04,6.330248259654883896e+02,6.330248259654883896e+02,6.330248259654883896e+02,1.000000000000000000e+00,1.135607250300141630e-10
1.529488220362996802e-04,6.351361486861858339e+02,6.351361486861858339e+02,6.351361486861858339e+02,1.000000000000000000e+00,1.151265180769290900e-10
1.534781344446411262e-04,6.372544973754456805e+02,6.372544973754456805e+02,6.372544973754456805e+02,1.000000000000000000e+00,1.167138975140462452e-10
1.540092786528087356e-04,6.393798954318612004e+02,6.393798954318612004e+02,6.393798954318612004e+02,1.000000000000000000e+00,1.183231610368274709e-10
1.545422610001412301e-04,6.415123663322397078e+02,6.415123663322397078e+02,6.415123663322397078e+02,1.000000000000000000e+00,1.199546103754934905e-10
1.550770878479158647e-04,6.436519335976091725e+02,6.436519335976091725e+02,6.436519335976091725e+02,1.000000000000000000e+00,1.216085511498997879e-10
1.556137655794244835e-04,6.457986205953975514e+02,6.457986205953975514e+02,6.457986205953975514e+02,1.000000000000000000e+00,1.232852935206788259e-10
1.561523006000497128e-04,6.479524506723689683e+02,6.479524506723689683e+02,6.479524506723689683e+02,1.000000000000000000e+00,1.249851515803775752e-10
1.566926993373413970e-04,6.501134472494059082e+02,6.501134472494059082e+02,6.501134472494059082e+02,1.000000000000000000e+00,1.267084441480620738e-10
1.572349682410933058e-04,6.522816338220204671e+02,6.522816338220204671e+02,6.522816338220204671e+02,1.000000000000000000e+00,1.284554940499377319e-10
1.577791137834200859e-04,6.544570339605871823e+02,6.544570339605871823e+02,6.544570339605871823e+02,1.000000000000000000e+00,1.302266285642766523e-10
1.583251424588345098e-04,6.566396713105830258e+02,6.566396713105830258e+02,6.566396713105830258e+02,1.000000000000000000e+00,1.320221798746187205e-10
1.588730607843250780e-04,6.588295695927982933e+02,6.588295695927982933e+02,6.588295695927982933e+02,1.000000000000000000e+00,1.338424843439407545e-10
1.594228752994337290e-04,6.610267526035602259e+02,6.610267526035602259e+02,6.610267526035602259e+02,1.000000000000000000e+00,1.356878831350646852e-10
1.599745925663338480e-04,6.632312442149976732e+02,6.632312442149976732e+02,6.632312442149976732e+02,1.000000000000000000e+00,1.375587219890297628e-10
1.605282191699086811e-04,6.654430683752325422e+02,6.654430683752325422e+02,6.654430683752325422e+02,1.000000000000000000e+00,1.394553515979052629e-10
1.610837617178298323e-04,6.676622491086304763e+02,6.676622491086304763e+02,6.676622491086304763e+02,1.000000000000000000e+00,1.413781273826982561e-10
1.616412268406362471e-04,6.698888105160289115e+02,6.698888105160289115e+02,6.698888105160289115e+02,1.000000000000000000e+00,1.433274094385003671e-10
1.622006211918132512e-04,6.721227767749633131e+02,6.721227767749633131e+02,6.721227767749633131e+02,1.000000000000000000e+00,1.453035634295607343e-10
1.627619514478719680e-04,6.743641721456729101e+02,6.743641721456729101e+02,6.743641721456729101e+02,1.000000000000000000e+00,1.473069594192731555e-10
1.633252243084290620e-04,6.766130211824666958e+02,6.766130211824666958e+02,6.766130211824666958e+02,1.000000000000000000e+00,1.493379728988135913e-10
1.638904464962866712e-04,6.788693487984238573e+02,6.788693487984238573e+02,6.788693487984238573e+02,1.000000000000000000e+00,1.513969846688293753e-10
1.644576247575125843e-04,6.811331800092167441e+02,6.811331800092167441e+02,6.811331800092167441e+02,1.000000000000000000e+00,1.534843805585547082e-10
1.650267658615209049e-04,6.834045399153884546e+02,6.834045399153884546e+02,6.834045399153884546e+02,1.000000000000000000e+00,1.556005518061870521e-10
1.655978766011526894e-04,6.856834537026670660e+02,6.856834537026670660e+02,6.856834537026670660e+02,1.000000000000000000e+00,1.577458952735203624e-10
1.661709637927570723e-04,6.879699466422434853e+02,6.879699466422434853e+02,6.879699466422434853e+02,1.000000000000000000e+00,1.599208129554896693e-10
1.667460342762727167e-04,6.902640440910820416e+02,6.902640440910820416e+02,6.902640440910820416e+02,1.000000000000000000e+00,1.621257124564811136e-10
1.673230949153092925e-04,6.925657714922090236e+02,6.925657714922090236e+02,6.925657714922090236e+02,1.000000000000000000e+00,1.643610072078910201e-10
1.679021525972294686e-04,6.948751543750162227e+02,6.948751543750162227e+02,6.948751543750162227e+02,1.000000000000000000e+00,1.666271161524308657e-10
1.684832142332312046e-04,6.971922183555532229e+02,6.971922183555532229e+02,6.971922183555532229e+02,1.000000000000000000e+00,1.689244640494556700e-10
1.690662867584300682e-04,6.995169891368411754e+02,6.995169891368411754e+02,6.995169891368411754e+02,1.000000000000000000e+00,1.712534816054354005e-10
1.696513771319421498e-04,7.018494925091584946e+02,7.018494925091584946e+02,7.018494925091584946e+02,1.000000000000000000e+00,1.736146052447037269e-10
1.702384923369669770e-04,7.041897543503566794e+02,7.041897543503566794e+02,7.041897543503566794e+02,1.000000000000000000e+00,1.760082776905638782e-10
1.708276393808710522e-04,7.065378006261519204e+02,7.065378006261519204e+02,7.065378006261519204e+02,1.000000000000000000e+00,1.784349475566065164e-10
1.714188252952713091e-04,7.088936572444064268e+02,7.088936572444064268e+02,7.088936572444064268e+02,1.000000000000000000e+00,1.808950696216623229e-10
1.720120571361191111e-04,7.112573495821092138e+02,7.112573495821092138e+02,7.112573495821092138e+02,1.000000000000000000e+00,1.833891049317905250e-10
1.726073419837845485e-04,7.136289029317417771e+02,7.136289029317417771e+02,7.136289029317417771e+02,1.000000000000000000e+00,1.859175205864324151e-10
1.732046869431407346e-04,7.160083426624170215e+02,7.160083426624170215e+02,7.160083426624170215e+02,1.000000000000000000e+00,1.884807904629513354e-10
1.738040991436488078e-04,7.183956942201029960e+02,7.183956942201029960e+02,7.183956942201029960e+02,1.000000000000000000e+00,1.910793946189343003e-10
1.744055857394429595e-04,7.207909831278107049e+02,7.207909831278107049e+02,7.207909831278107049e+02,1.000000000000000000e+00,1.937138198877178354e-10
1.750091539094157341e-04,7.231942349858137504e+02,7.231942349858137504e+02,7.231942349858137504e+02,1.000000000000000000e+00,1.963845598331629375e-10
1.756148108573038708e-04,7.256054754718494451e+02,7.256054754718494451e+02,7.256054754718494451e+02,1.000000000000000000e+00,1.990921147024419052e-10
1.762225638117741178e-04,7.280247303413328837e+02,7.280247303413328837e+02,7.280247303413328837e+02,1.000000000000000000e+00,2.018369917517010013e-10
1.768324200265096165e-04,7.304520254275539628e+02,7.304520254275539628e+02,7.304520254275539628e+02,1.000000000000000000e+00,2.046197050129706487e-10
1.774443867802965018e-04,7.328873866418914531e+02,7.328873866418914531e+02,7.328873866418914531e+02,1.000000000000000000e+00,2.074407758100805385e-10
1.780584713771105575e-04,7.353308399740357117e+02,7.353308399740357117e+02,7.353308399740357117e+02,1.000000000000000000e+00,2.103007325265314237e-10
1.786746811462047106e-04,7.377824114921696719e+02,7.377824114921696719e+02,7.377824114921696719e+02,1.000000000000000000e+00,2.132001109374132568e-10
1.792930234421963103e-04,7.402421273432051976e+02,7.402421273432051976e+02,7.402421273432051976e+02,1.000000000000000000e+00,2.161394539750966656e-10
1.799135056451548940e-04,7.427100137824512558e+02,7.427100137824512558e+02,7.427100137824512558e+02,1.000000000000000000e+00,2.191193122626396725e-10
1.805361351606904138e-04,7.451860976666938541e+02,7.451860976666938541e+02,7.451860976666938541e+02,1.000000000000000000e+00,2.221402442196582318e-10
1.811609194200414371e-04,7.476704063876177315e+02,7.476704063876177315e+02,7.476704063876177315e+02,1.000000000000000000e+00,2.252028156217713341e-10
1.817878658801639691e-04,7.501629674443871636e+02,7.501629674443871636e+02,7.501629674443871636e+02,1.000000000000000000e+00,2.283076006811440939e-10
1.824169820238204394e-04,7.526638084296281477e+02,7.526638084296281477e+02,7.526638084296281477e+02,1.000000000000000000e+00,2.314551810406386063e-10
1.830482753596690125e-04,7.551729570297695773e+02,7.551729570297695773e+02,7.551729570297695773e+02,1.000000000000000000e+00,2.346461464034580129e-10
1.836817534223531435e-04,7.576904410253639526e+02,7.576904410253639526e+02,7.576904410253639526e+02,1.000000000000000000e+00,2.378810951742097968e-10
1.843174237725915391e-04,7.602162882914196871e+02,7.602162882914196871e+02,7.602162882914196871e+02,1.000000000000000000e+00,2.411606331542144556e-10
1.849552939972684182e-04,7.627505267977155654e+02,7.627505267977155654e+02,7.627505267977155654e+02,1.000000000000000000e+00,2.444853751550809323e-10
1.855953717095240694e-04,7.652931846091590842e+02,7.652931846091590842e+02,7.652931846091590842e+02,1.000000000000000000e+00,2.478559440819181215e-10
1.862376645488457070e-04,7.678442898860871537e+02,7.678442898860871537e+02,7.678442898860871537e+02,1.000000000000000000e+00,2.512729716771666954e-10
1.868821801811585445e-04,7.704038708846115924e+02,7.704038708846115924e+02,7.704038708846115924e+02,1.000000000000000000e+00,2.547370979887494736e-10
1.875289262989175449e-04,7.729719559569724652e+02,7.729719559569724652e+02,7.729719559569724652e+02,1.000000000000000000e+00,2.582489725178147156e-10
1.881779106211989273e-04,7.755485735518403771e+02,7.755485735518403771e+02,7.755485735518403771e+02,1.000000000000000000e+00,2.618092532914908485e-10
1.888291408937925139e-04,7.781337522143829801e+02,7.781337522143829801e+02,7.781337522143829801e+02,1.000000000000000000e+00,2.654186074180926794e-10
1.894826248892940500e-04,7.807275204203557450e+02,7.807275204203557450e+02,7.807275204203557450e+02,1.000000000000000000e+00,2.690777110923557945e-10
1.901383704071981197e-04,7.833299062942420505e+02,7.833299062942420505e+02,7.833299062942420505e+02,1.000000000000000000e+00,2.727872501615698784e-10
1.907963852739910627e-04,7.859409379760832053e+02,7.859409379760832053e+02,7.859409379760832053e+02,1.000000000000000000e+00,2.765479191044506662e-10
1.914566773432444316e-04,7.885606436947986140e+02,7.885606436947986140e+02,7.885606436947986140e+02,1.000000000000000000e+00,2.803604226299558872e-10
1.921192544957088576e-04,7.911890517684838642e+02,7.911890517684838642e+02,7.911890517684838642e+02,1.000000000000000000e+00,2.842254750408119692e-10
1.927841246394079689e-04,7.938261906046396916e+02,7.938261906046396916e+02,7.938261906046396916e+02,1.000000000000000000e+00,2.881437999914295519e-10
1.934512957097328251e-04,7.964720887004592669e+02,7.964720887004592669e+02,7.964720887004592669e+02,1.000000000000000000e+00,2.921161316749362027e-10
