r_M5,V_r,dV_dr,d2V_dr2
0.5,-6.553118540005048,0.875,-1.75
0.5034068136272545,-6.5501477336629055,0.8690380761523047,-1.75
0.5068136272545091,-6.547197238484171,0.8630761523046091,-1.75
0.5102204408817635,-6.544267054468846,0.8571142284569138,-1.75
0.513627254509018,-6.541357181616929,0.8511523046092184,-1.75
0.5170340681362725,-6.538467619928422,0.8451903807615231,-1.75
0.5204408817635271,-6.535598369403323,0.8392284569138275,-1.75
0.5238476953907816,-6.532749430041634,0.8332665330661322,-1.75
0.527254509018036,-6.529920801843354,0.8273046092184368,-1.75
0.5306613226452905,-6.527112484808483,0.8213426853707415,-1.75
0.5340681362725451,-6.524324478937021,0.8153807615230461,-1.75
0.5374749498997996,-6.521556784228967,0.8094188376753507,-1.75
0.5408817635270541,-6.518809400684322,0.8034569138276554,-1.75
0.5442885771543087,-6.516082328303087,0.7974949899799598,-1.75
0.5476953907815632,-6.51337556708526,0.7915330661322645,-1.75
0.5511022044088176,-6.510689117030843,0.7855711422845691,-1.75
0.5545090180360721,-6.508022978139834,0.7796092184368738,-1.75
0.5579158316633267,-6.505377150412236,0.7736472945891782,-1.75
0.5613226452905812,-6.502751633848045,0.7676853707414829,-1.75
0.5647294589178357,-6.500146428447263,0.7617234468937876,-1.75
0.5681362725450902,-6.497561534209891,0.7557615230460921,-1.75
0.5715430861723447,-6.494996951135927,0.7497995991983968,-1.75
0.5749498997995992,-6.492452679225373,0.7438376753507014,-1.75
0.5783567134268537,-6.489928718478227,0.7378757515030061,-1.75
0.5817635270541082,-6.48742506889449,0.7319138276553108,-1.75
0.5851703406813628,-6.484941730474163,0.7259519038076152,-1.75
0.5885771543086172,-6.482478703217244,0.7199899799599199,-1.75
0.5919839679358717,-6.480035987123735,0.7140280561122245,-1.75
0.5953907815631263,-6.477613582193634,0.708066132264529,-1.75
0.5987975951903808,-6.475211488426942,0.7021042084168336,-1.75
0.6022044088176353,-6.472829705823659,0.6961422845691383,-1.75
0.6056112224448897,-6.470468234383786,0.690180360721443,-1.75
0.6090180360721443,-6.468127074107321,0.6842184368737474,-1.75
0.6124248496993988,-6.465806224994265,0.678256513026052,-1.75
0.6158316633266533,-6.463505687044618,0.6722945891783567,-1.75
0.6192384769539079,-6.4612254602583805,0.6663326653306612,-1.75
0.6226452905811624,-6.458965544635552,0.6603707414829658,-1.75
0.6260521042084168,-6.456725940176132,0.6544088176352705,-1.75
0.6294589178356713,-6.454506646880121,0.6484468937875751,-1.75
0.6328657314629259,-6.4523076647475195,0.6424849699398797,-1.75
0.6362725450901804,-6.450128993778327,0.6365230460921844,-1.75
0.6396793587174349,-6.447970633972543,0.630561122244489,-1.75
0.6430861723446895,-6.445832585330168,0.6245991983967935,-1.75
0.6464929859719439,-6.443714847851202,0.6186372745490981,-1.75
0.6498997995991984,-6.4416174215356445,0.6126753507014028,-1.75
0.6533066132264529,-6.439540306383496,0.6067134268537074,-1.75
0.6567134268537074,-6.437483502394757,0.6007515030060121,-1.75
0.660120240480962,-6.435447009569428,0.5947895791583165,-1.75
0.6635270541082164,-6.4334308279075065,0.5888276553106212,-1.75
0.666933867735471,-6.431434957408994,0.5828657314629258,-1.75
0.6703406813627255,-6.429459398073892,0.5769038076152304,-1.75
0.67374749498998,-6.427504149902197,0.5709418837675351,-1.75
0.6771543086172345,-6.425569212893912,0.5649799599198397,-1.75
0.680561122244489,-6.423654587049036,0.5590180360721444,-1.75
0.6839679358717435,-6.421760272367568,0.5530561122244488,-1.75
0.687374749498998,-6.419886268849511,0.5470941883767535,-1.75
0.6907815631262525,-6.418032576494862,0.5411322645290582,-1.75
0.6941883767535071,-6.416199195303621,0.5351703406813626,-1.75
0.6975951903807616,-6.41438612527579,0.5292084168336673,-1.75
0.701002004008016,-6.412593366411368,0.5232464929859719,-1.75
0.7044088176352705,-6.410820918710355,0.5172845691382766,-1.75
0.7078156312625251,-6.40906878217275,0.511322645290581,-1.75
0.7112224448897796,-6.407336956798555,0.5053607214428857,-1.75
0.7146292585170341,-6.405625442587769,0.49939879759519035,-1.75
0.7180360721442887,-6.4039342395403915,0.49343687374749484,-1.75
0.7214428857715431,-6.402263347656423,0.4874749498997995,-1.75
0.7248496993987976,-6.400612766935864,0.48151302605210416,-1.75
0.7282565130260521,-6.3989824973787135,0.4755511022044088,-1.75
0.7316633266533066,-6.397372538984972,0.4695891783567135,-1.75
0.7350701402805612,-6.3957828917546395,0.463627254509018,-1.75
0.7384769539078156,-6.394213555687716,0.45766533066132264,-1.75
0.7418837675350702,-6.392664530784201,0.4517034068136271,-1.75
0.7452905811623247,-6.391135817044097,0.44574148296593175,-1.75
0.7486973947895792,-6.3896274144674,0.4397795591182364,-1.75
0.7521042084168337,-6.388139323054112,0.43381763527054107,-1.75
0.7555110220440882,-6.386671542804234,0.42785571142284573,-1.75
0.7589178356713427,-6.385224073717764,0.42189378757515017,-1.75
0.7623246492985972,-6.383796915794703,0.41593186372745483,-1.75
0.7657314629258518,-6.382390069035052,0.4099699398797593,-1.75
0.7691382765531063,-6.381003533438809,0.404008016032064,-1.75
0.7725450901803608,-6.379637309005976,0.39804609218436865,-1.75
0.7759519038076153,-6.378291395736551,0.3920841683366733,-1.75
0.7793587174348697,-6.376965793630536,0.386122244488978,-1.75
0.7827655310621242,-6.375660502687929,0.38016032064128263,-1.75
0.7861723446893788,-6.374375522908731,0.37419839679358713,-1.75
0.7895791583166333,-6.373110854292943,0.3682364729458918,-1.75
0.7929859719438879,-6.371866496840563,0.36227454909819623,-1.75
0.7963927855711423,-6.370642450551593,0.3563126252505009,-1.75
0.7997995991983968,-6.36943871542603,0.35035070140280555,-1.75
0.8032064128256513,-6.3682552914638775,0.3443887775551102,-1.75
0.8066132264529058,-6.367092178665134,0.3384268537074149,-1.75
0.8100200400801604,-6.365949377029799,0.3324649298597193,-1.75
0.8134268537074149,-6.364826886557873,0.326503006012024,-1.75
0.8168336673346694,-6.363724707249356,0.3205410821643285,-1.75
0.8202404809619239,-6.362642839104248,0.31457915831663313,-1.75
0.8236472945891784,-6.3615812821225495,0.3086172344689378,-1.75
0.8270541082164329,-6.3605400363042595,0.30265531062124246,-1.75
0.8304609218436874,-6.359519101649379,0.2966933867735471,-1.75
0.833867735470942,-6.358518478157907,0.2907314629258516,-1.75
0.8372745490981964,-6.357538165829844,0.2847695390781563,-1.75
0.840681362725451,-6.35657816466519,0.2788076152304607,-1.75
0.8440881763527055,-6.355638474663945,0.2728456913827654,-1.75
0.84749498997996,-6.354719095826109,0.26688376753507004,-1.75
