y_keff_inv,y_Mpc_over_h,r_y,dr_dy,m_r_eff_hMpc
0.0,0.0,1.0,0.010805007943803336,1.984313483298443
0.01001001001001001,0.00667334000667334,1.000107879435854,0.010749436862291744,1.984313483298443
0.02002002002002002,0.01334668001334668,1.0002152066315453,0.010694671215848977,1.984313483298443
0.03003003003003003,0.02002002002002002,1.0003219896287403,0.010640704188867964,1.984313483298443
0.04004004004004004,0.02669336002669336,1.0004282363881063,0.010587529052787812,1.984313483298443
0.050050050050050046,0.0333667000333667,1.0005339547897176,0.010535139167806719,1.984313483298443
0.06006006006006006,0.04004004004004004,1.0006391526829823,0.010483527926971773,1.984313483298443
0.07007007007007007,0.04671338004671338,1.0007438378079214,0.010432688842706603,1.984313483298443
0.08008008008008008,0.05338672005338672,1.00084801787385,0.010382615461623586,1.984313483298443
0.09009009009009009,0.06006006006006006,1.000951700514143,0.01033330141246913,1.984313483298443
0.10010010010010009,0.0667334000667334,1.0010548932851293,0.010284740409398415,1.984313483298443
0.11011011011011011,0.07340674007340674,1.001157603714533,0.010236926197425762,1.984313483298443
0.12012012012012012,0.08008008008008008,1.0012598392265488,0.010189852635311891,1.984313483298443
0.13013013013013014,0.08675342008675342,1.0013616072158544,0.01014351361492025,1.984313483298443
0.14014014014014015,0.09342676009342676,1.0014629150059708,0.010097903105612881,1.984313483298443
0.15015015015015015,0.1001001001001001,1.0015637698468014,0.010053015158936444,1.984313483298443
0.16016016016016016,0.10677344010677343,1.001664178961573,0.010008843855439643,1.984313483298443
0.17017017017017017,0.11344678011344678,1.001764149475581,0.009965383384051917,1.984313483298443
0.18018018018018017,0.12012012012012012,1.0018636884857537,0.009922627965764024,1.984313483298443
0.19019019019019018,0.12679346012679346,1.0019628030223815,0.009880571894691928,1.984313483298443
0.20020020020020018,0.1334668001334668,1.0020615000454551,0.009839209544034395,1.984313483298443
0.21021021021021022,0.14014014014014015,1.0021597864900884,0.009798535314259052,1.984313483298443
0.22022022022022023,0.14681348014681347,1.0022576691988156,0.009758543709102036,1.984313483298443
0.23023023023023023,0.15348682015348683,1.0023551549869163,0.009719229263361766,1.984313483298443
0.24024024024024024,0.16016016016016016,1.002452250607301,0.009680586580836472,1.984313483298443
0.2502502502502503,0.16683350016683351,1.0025489627457895,0.00964261034142408,1.984313483298443
0.2602602602602603,0.17350684017350684,1.002645298065008,0.009605295250673817,1.984313483298443
0.2702702702702703,0.1801801801801802,1.0027412631401171,0.009568636112534137,1.984313483298443
0.2802802802802803,0.18685352018685353,1.002836864520101,0.009532627761056924,1.984313483298443
0.2902902902902903,0.19352686019352686,1.0029321086956065,0.009497265095403194,1.984313483298443
0.3003003003003003,0.2002002002002002,1.0030270020932937,0.009462543087965635,1.984313483298443
0.3103103103103103,0.20687354020687354,1.003121551118204,0.00942845673527873,1.984313483298443
0.3203203203203203,0.21354688021354687,1.0032157620927986,0.009395001127639498,1.984313483298443
0.3303303303303303,0.22022022022022023,1.0033096413144085,0.009362171384527804,1.984313483298443
0.34034034034034033,0.22689356022689355,1.0034031950258369,0.009329962686864077,1.984313483298443
0.35035035035035034,0.23356690023356688,1.0034964294089008,0.009298370286043987,1.984313483298443
0.36036036036036034,0.24024024024024024,1.003589350625272,0.009267389456196304,1.984313483298443
0.37037037037037035,0.24691358024691357,1.0036819647587116,0.009237015560798437,1.984313483298443
0.38038038038038036,0.2535869202535869,1.0037742778688639,0.009207243991626535,1.984313483298443
