k_hMpc,T_overlap_A,T_sqrt_B,dT_dk_B,T_target_v183,err_vs_target_A_pct,err_vs_target_B_pct
0.0001,0.6533887851563599,0.8083246780572518,0.0,122.47448713915891,-99.93471120106533,-99.8826795526971
0.00010280732238308647,0.6533887851563599,0.8083246780572518,0.0,120.79072987253313,-99.93380111061592,-99.88104416928746
0.00010569345535579884,0.6533887851563599,0.8083246780572518,0.0,119.13012059859653,-99.93287833399918,-99.87938598952002
0.00010866061138545968,0.6533887851563599,0.8083246780572518,1.634775303351507e-11,117.49234108290051,-99.93194269437687,-99.8777046956259
0.00011171106505048242,0.6533887851563599,0.8083246780572518,-1.5901350851838284e-11,115.87707746602626,-99.93099401244565,-99.87599996540668
0.0001148471547840289,0.6533887851563599,0.8083246780572518,0.0,114.28402020343826,-99.9300321064028,-99.87427147217272
0.00011807128466661903,0.6533887851563599,0.8083246780572518,0.0,112.71286400616337,-99.92905679191136,-99.8725188846805
0.00012138592626906277,0.6533887851563599,0.8083246780572518,1.4633960410392194e-11,111.16330778228675,-99.92806788206487,-99.87074186706911
0.00012479362054713115,0.6533887851563599,0.8083246780572518,-1.4234356144265956e-11,109.63505457925092,-99.92706518735142,-99.86894007879593
0.00012829697978941474,0.6533887851563599,0.8083246780572518,1.3845663727360872e-11,108.1278115269491,-99.92604851561745,-99.86711317457137
0.00013189868961986705,0.6533887851563599,0.8083246780572518,-1.3467585193755324e-11,106.64128978159991,-99.92501767203088,-99.86526080429272
0.00013560151105656334,0.6533887851563599,0.8083246780572518,0.0,105.17520447039469,-99.92397245904375,-99.86338261297695
0.00013940828262825786,0.6533887851563599,0.8083246780572518,0.0,103.72927463690479,-99.92291267635444,-99.86147824069283
0.0001433219225503574,0.6533887851563599,0.8083246780572518,1.239417395322835e-11,102.30322318724033,-99.92183812086918,-99.85954732249186
0.00014734543096198358,0.6533887851563599,0.8083246780572518,-1.2055730726109629e-11,100.89677683694828,-99.92074858666321,-99.85758948833836
0.00015148189222583458,0.6533887851563599,0.8083246780572518,0.0,99.50966605864143,-99.91964386494129,-99.85560436303854
0.0001557344772926135,0.6533887851563599,0.8083246780572518,0.0,98.14162503034652,-99.9185237439977,-99.8535915661686
0.00016010644613183178,0.6533887851563599,0.8083246780572518,0.0,96.79239158456323,-99.91738800917561,-99.85155071200191
0.00016460115023085497,0.6533887851563599,0.8083246780572518,1.0791885943135209e-11,95.46170715802288,-99.91623644282603,-99.84948140943494
0.00016922203516410374,0.6533887851563599,0.8083246780572518,-1.0497195815412699e-11,94.14931674213815,-99.91506882426609,-99.8473832619124
0.00017397264323438006,0.6533887851563599,0.8083246780572518,1.0210552684464881e-11,92.85496883413421,-99.91388492973662,-99.84525586735128
0.0001788566161883462,0.6533887851563599,0.8083246780572518,-9.931736813860136e-12,91.57841538885098,-99.91268453235949,-99.84309881806374
0.0001838776980082327,0.6533887851563599,0.8083246780572518,0.0,90.31941177120898,-99.9114674020939,-99.84091170067893
0.00018903973778192215,0.6533887851563599,0.8083246780572518,0.0,89.07771670932763,-99.91023330569251,-99.83869409606392
0.000194346692653602,0.6533887851563599,0.8083246780572518,9.140144425129879e-12,87.8530922482891,-99.90898200665657,-99.83644557924323
0.00019980263085725506,0.6533887851563599,0.8083246780572518,-8.890557805864591e-12,86.64530370453687,-99.90771326519067,-99.83416571931748
0.00020541173483530642,0.6533887851563599,0.8083246780572518,0.0,85.45411962090199,-99.9064268381568,-99.83185407938079
0.00021117830444482443,0.6533887851563599,0.8083246780572518,0.0,84.27931172224696,-99.90512247902774,-99.82951021643704
0.0002171067602537265,0.6533887851563599,0.8083246780572518,8.18195083987377e-12,83.12065487172009,-99.9037999378398,-99.827133681315
0.00022320164692952345,0.6533887851563599,0.8083246780572518,-7.958529266413254e-12,81.97792702761052,-99.90245896114497,-99.82472401858222
0.0002294676367231936,0.6533887851563599,0.8083246780572518,7.741208585082813e-12,80.85090920079715,-99.90109929196225,-99.82228076645774
0.00023590953305086362,0.6533887851563599,0.8083246780572518,-7.529822201026767e-12,79.73938541278186,-99.8997206697285,-99.81980345672369
0.00024253227417603528,0.6533887851563599,0.8083246780572518,0.0,78.64314265430032,-99.89832283024847,-99.81729161463547
0.00024934093699518806,0.6533887851563599,0.8083246780572518,0.0,77.56197084450113,-99.89690550564417,-99.81474475883074
0.0002563407409296515,0.6533887851563599,0.8083246780572518,0.0,76.49566279068696,-99.89546842430354,-99.81216240123734
0.0002635370519267393,0.6533887851563599,0.8083246780572518,6.740444375518248e-12,75.44401414860832,-99.8940113108284,-99.80954404697955
0.0002709353865732052,0.6533887851563599,0.8083246780572518,-6.556385497913869e-12,74.40682338330382,-99.89253388598162,-99.80688919428343
0.0002785414163241769,0.6533887851563599,0.8083246780572518,0.0,73.38389173047858,-99.89103586663374,-99.80419733438049
0.00028636097185081157,0.6533887851563599,0.8083246780572518,0.0,72.37502315841361,-99.88951696570855,-99.80146795141039
0.00029440004751000336,0.6533887851563599,0.8083246780572518,6.0338198122739504e-12,71.38002433039873,-99.88797689212822,-99.79870052232188
0.0003026648059395692,0.6533887851563599,0.8083246780572518,-5.86905647614319e-12,70.39870456768212,-99.88641535075739,-99.79589451677273
0.000311161582782436,0.6533887851563599,0.8083246780572518,5.70879227286319e-12,69.43087581292936,-99.8848320423467,-99.79304939702799
0.00031989689154345377,0.6533887851563599,0.8083246780572518,-5.552904346239813e-12,68.47635259418433,-99.88322666347544,-99.79016461785697
0.000328877428582551,0.6533887851563599,0.8083246780572518,1.0802546389737232e-11,67.53495198932626,-99.88159890649335,-99.78723962642883
0.00033811007824806853,0.6533887851563599,0.8083246780572518,-1.0507565161053569e-11,66.60649359101468,-99.87994845946172,-99.78427386220645
0.00034760191815419775,0.6533887851563599,0.8083246780572518,1.0220638878133295e-11,65.69079947211704,-99.87827500609352,-99.78126675683922
0.0003573602246065788,0.6533887851563599,0.8083246780572518,-9.941547587484635e-12,64.78769415161088,-99.87657822569294,-99.778217734054
0.0003673924781802074,0.6533887851563599,0.8083246780572518,9.670077341806332e-12,63.89700456095551,-99.87485779309378,-99.77512620954472
0.00037770636945393685,0.6533887851563599,0.8083246780572518,-9.406020035978694e-12,63.018560010925356,-99.87311337859721,-99.77199159086038
0.0003883098049059605,0.6533887851563599,0.8083246780572518,9.149173247533331e-12,62.15219215889977,-99.87134464790861,-99.76881327729157
0.00039921091297480534,0.6533887851563599,0.8083246780572518,-8.899340081478977e-12,61.29773497660214,-99.86955126207343,-99.76559065975529
0.0004104180502904709,0.6533887851563599,0.8083246780572518,0.0,60.45502471828292,-99.86773287741231,-99.76232312067825
0.0004219398080805024,0.6533887851563599,0.8083246780572518,4.2099768862324015e-12,59.62389988933964,-99.86588914545517,-99.75901003387855
0.0004337850187558989,0.6533887851563599,0.8083246780572518,0.0,58.804201215368636,-99.86401971287444,-99.75565076444563
0.00044596276268190954,0.6533887851563599,0.8083246780572518,-7.966390865092326e-12,57.99577161164223,-99.86212422141737,-99.75224466861863
0.0004584823751389096,0.6533887851563599,0.8083246780572518,0.0,57.19845615300539,-99.86020230783737,-99.74879109366302
0.0004713534534786907,0.6533887851563599,0.8083246780572518,7.53726031406093e-12,56.41210204418621,-99.85825360382438,-99.74528937774548
0.00048458586448164956,0.6533887851563599,0.8083246780572518,0.0,55.63655859051482,-99.85627773593426,-99.7417388498071
0.0004981897519205165,0.6533887851563599,0.8083246780572518,-7.131246006375734e-12,54.87167716904462,-99.85427432551732,-99.73813882943482
0.0005121755443364242,0.6533887851563599,0.8083246780572518,0.0,54.117311200070645,-99.85224298864567,-99.73448862673092
0.0005265539630332755,0.6533887851563599,0.8083246780572518,6.7471027249223974e-12,53.37331611903933,-99.85018333603966,-99.73078754218093
0.0005413360302965381,0.6533887851563599,0.8083246780572518,-6.562862030178118e-12,52.63954934884465,-99.84809497299332,-99.7270348665195
0.0005565330778427646,0.6533887851563599,0.8083246780572518,3.1918261647371814e-12,51.915870272505124,-99.84597749929871,-99.72322988059452
0.0005721567555063251,0.6533887851563599,0.8083246780572518,-3.1046681216378873e-12,51.2021402062162,-99.84383050916914,-99.71937185522928
0.0005882190401699955,0.6533887851563599,0.8083246780572518,6.0397801434203235e-12,50.498222372773455,-99.84165359116155,-99.71546005108276
0.0006047322449462648,0.6533887851563599,0.8083246780572518,-5.874854050681864e-12,49.80398187536084,-99.8394463280975,-99.7114937185079
0.0006217090286163827,0.6533887851563599,0.8083246780572518,5.714431535130006e-12,49.119285671699615,-99.83720829698339,-99.70747209740797
0.0006391624053344006,0.6533887851563599,0.8083246780572518,-5.558389619210742e-12,48.44400254855232,-99.8349390689293,-99.70339441709095
0.000657105754603627,0.6533887851563599,0.8083246780572518,0.0,47.77800309657762,-99.8326382090668,-99.69925989612175
0.000675552831533164,0.6533887851563599,0.8083246780572518,5.25897237487353e-12,47.1211596855305,-99.83030527646562,-99.69506774217247
0.0006945177773823696,0.6533887851563599,0.8083246780572518,0.0,46.47334643980367,-99.82793982404921,-99.69081715187065
0.0007140151304013403,0.6533887851563599,0.8083246780572518,0.0,45.83443921430511,-99.82554139850893,-99.68650731064523
0.0007340598369757212,0.6533887851563599,0.8083246780572518,-4.839814821414901e-12,45.20431557066726,-99.82310954021736,-99.68213739257045
0.0007546672630843887,0.6533887851563599,0.8083246780572518,4.707655747885844e-12,44.58285475378322,-99.82064378314006,-99.67770656020762
0.0007758532060787836,0.6533887851563599,0.8083246780572518,0.0,43.969937668665615,-99.81814365474634,-99.67321396444461
0.0007976339067929281,0.6533887851563599,0.8083246780572518,-4.454065516202802e-12,43.36544685762363,-99.81560867591868,-99.66865874433311
0.0008200260619934131,0.6533887851563599,0.8083246780572518,0.0,42.76926647775371,-99.81303836086096,-99.66404002692367
0.0008430468371788967,0.6533887851563599,0.8083246780572518,4.214135587874349e-12,42.18128227873969,-99.81043221700529,-99.65935692709837
0.0008667138797389233,0.6533887851563599,0.8083246780572518,-4.099061710965873e-12,41.60138158095824,-99.80778974491763,-99.6546085474013
0.0008910453324821513,0.6533887851563599,0.8083246780572518,3.98713011481003e-12,41.02945325388534,-99.80511043820215,-99.64979397786638
0.0009160598475443709,0.6533887851563599,0.8083246780572518,-3.878254994282367e-12,40.4653876947994,-99.80239378340411,-99.64491229584321
0.0009417766006869519,0.6533887851563599,0.8083246780572518,1.8861764436539813e-12,39.90907680777741,-99.7996392599115,-99.6399625658201
0.0009682153059967086,0.6533887851563599,0.8083246780572518,-1.834671305440289e-12,39.360413982979686,-99.79684633985525,-99.63494383924483
0.0009953962309984233,0.6533887851563599,0.8083246780572518,3.5691451988289962e-12,38.81929407621952,-99.79401448800807,-99.62985515434288
0.0010233402121916423,0.6533887851563599,0.8083246780572518,-3.4716838412826677e-12,38.28561338881355,-99.79114316168194,-99.62469553593311
0.001052068671023623,0.6533887851563599,0.8083246780572518,0.0,37.75926964770938,-99.78823181062401,-99.6194639952409
0.0010816036303107094,0.6533887851563599,0.8083246780572518,3.2846724800469858e-12,37.24016198588611,-99.78527987691123,-99.61415952970864
0.0011119677311206989,0.6533887851563599,0.8083246780572518,0.0,36.72819092302456,-99.78228679484342,-99.6087811228036
0.0011431842501291502,0.6533887851563599,0.8083246780572518,-3.1077349765789163e-12,36.22325834644314,-99.77925199083477,-99.60332774382314
0.0011752771174629451,0.6533887851563599,0.8083246780572518,0.0,35.72526749229581,-99.77617488330411,-99.5977983476972
